Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
CH3L1_HUMAN;19 (19);1160.40;0.05;3.98;123;Chitinase-3-like protein 1 OS=Homo sapiens GN=CHI3L1 PE=1 SV=2;9.76e+004;3.88e+005
UGGG1_HUMAN;4 (4);112.34;0.05;3.98;123;UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3;1296.25;5158.95
DHE3_HUMAN;1 (1);28.91;0.05;3.68;123;Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2;760.81;2801.28
ZN827_HUMAN;1 (1);16.84;0.05;3.35;123;Zinc finger protein 827 OS=Homo sapiens GN=ZNF827 PE=2 SV=1;1.54e+004;4608.77
HPLN1_HUMAN;17 (15);1004.76;0.05;3.25;123;Hyaluronan and proteoglycan link protein 1 OS=Homo sapiens GN=HAPLN1 PE=2 SV=2;4.82e+004;1.57e+005
ENPP2_HUMAN;18 (18);758.30;0.05;2.88;123;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Homo sapiens GN=ENPP2 PE=1 SV=3;3.10e+004;8.93e+004
MAP1B_HUMAN;5 (4);193.02;0.05;2.78;123;Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2;1520.66;4228.32
PIPNB_HUMAN;2 (2);42.96;0.05;2.77;123;Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=1 SV=2;1109.69;3076.47
CAP1_HUMAN;8 (8);353.09;0.05;2.72;123;Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5;4512.92;1.23e+004
LGMN_HUMAN;11 (11);505.66;0.05;2.70;123;Legumain OS=Homo sapiens GN=LGMN PE=1 SV=1;3.37e+004;9.10e+004
CSN3_HUMAN;1 (1);66.02;0.05;2.67;123;COP9 signalosome complex subunit 3 OS=Homo sapiens GN=COPS3 PE=1 SV=3;1681.76;4498.30
CRDL1_HUMAN;8 (8);385.65;0.05;2.65;123;Chordin-like protein 1 OS=Homo sapiens GN=CHRDL1 PE=1 SV=1;6050.43;1.60e+004
ALDOA_HUMAN;24 (17);1658.73;0.05;2.60;123;Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2;1.84e+005;4.79e+005
KCY_HUMAN;7 (7);379.58;0.05;2.53;123;UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3;1.09e+004;2.77e+004
TGFB1_HUMAN;5 (5);328.64;0.05;2.52;123;Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2;4018.30;1.01e+004
SPHM_HUMAN;7 (7);356.18;0.05;2.23;123;N-sulphoglucosamine sulphohydrolase OS=Homo sapiens GN=SGSH PE=1 SV=1;9026.73;2.01e+004
ADIPO_HUMAN;10 (10);556.19;0.05;2.14;123;Adiponectin OS=Homo sapiens GN=ADIPOQ PE=1 SV=1;5.10e+004;1.09e+005
CK068_HUMAN;3 (3);67.50;0.05;2.12;123;UPF0696 protein C11orf68 OS=Homo sapiens GN=C11orf68 PE=1 SV=2;742.03;1569.52
EFCB1_HUMAN;1 (1);19.46;0.05;18.49;123;EF-hand calcium-binding domain-containing protein 1 OS=Homo sapiens GN=EFCAB1 PE=2 SV=1;121.44;2245.86
EXTL3_HUMAN;1 (1);20.72;0.05;16.72;123;Exostosin-like 3 OS=Homo sapiens GN=EXTL3 PE=1 SV=1;4622.87;276.55
CB071_HUMAN;1 (1);16.18;0.05;16.27;123;Uncharacterized protein C2orf71 OS=Homo sapiens GN=C2orf71 PE=1 SV=1;4.99e+004;3067.83
PA24B_HUMAN;1 (1);21.10;0.05;16.21;123;Cytosolic phospholipase A2 beta OS=Homo sapiens GN=PLA2G4B PE=1 SV=2;163.37;2648.15
VP26A_HUMAN;2 (2);66.90;0.05;10.67;123;Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2;337.51;3601.83
FKB10_HUMAN;12 (12);662.42;0.05;1.88;123;Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10 PE=1 SV=1;2.03e+004;3.83e+004
EDIL3_HUMAN;14 (14);727.32;0.05;1.71;123;EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1;4.75e+004;8.10e+004
MUC18_HUMAN;4 (4);153.05;0.05;1.65;123;Cell surface glycoprotein MUC18 OS=Homo sapiens GN=MCAM PE=1 SV=2;7450.84;1.23e+004
ITIH2_HUMAN;5 (5);292.87;0.05;1.39;123;Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2;1.42e+005;1.02e+005
ATPO_HUMAN;1 (1);21.28;0.04;Infinity;123;ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1;9498.04;0.00
N2DL2_HUMAN;1 (1);52.33;0.04;9.93;123;NKG2D ligand 2 OS=Homo sapiens GN=ULBP2 PE=1 SV=1;565.26;5613.29
DDB1_HUMAN;1 (1);29.67;0.04;8.87;123;DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1;223.79;1986.05
PIPNA_HUMAN;2 (2);71.95;0.04;8.18;123;Phosphatidylinositol transfer protein alpha isoform OS=Homo sapiens GN=PITPNA PE=1 SV=2;1165.05;9524.58
APOM_HUMAN;2 (2);51.03;0.04;72.07;123;Apolipoprotein M OS=Homo sapiens GN=APOM PE=1 SV=2;3497.27;48.53
EXT2_HUMAN;4 (4);182.79;0.04;7.71;123;Exostosin-2 OS=Homo sapiens GN=EXT2 PE=1 SV=1;506.56;3904.28
SYCE1_HUMAN;1 (1);18.23;0.04;7.13;123;Synaptonemal complex central element protein 1 OS=Homo sapiens GN=SYCE1 PE=2 SV=2;7.18e+004;1.01e+004
VTDB_HUMAN;3 (3);227.11;0.04;6.87;123;Vitamin D-binding protein OS=Homo sapiens GN=GC PE=1 SV=1;1.07e+005;1.56e+004
HBA_HUMAN;4 (4);142.28;0.04;6.55;123;Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2;2.50e+005;3.82e+004
DKK3_HUMAN;3 (3);182.18;0.04;5.78;123;Dickkopf-related protein 3 OS=Homo sapiens GN=DKK3 PE=1 SV=2;2723.15;1.57e+004
ZY11B_HUMAN;1 (1);35.60;0.04;5.78;123;Protein zyg-11 homolog B OS=Homo sapiens GN=ZYG11B PE=1 SV=2;1342.51;232.31
NAC1_HUMAN;1 (1);34.64;0.04;5.29;123;Sodium/calcium exchanger 1 OS=Homo sapiens GN=SLC8A1 PE=1 SV=3;3844.28;2.03e+004
CF176_HUMAN;1 (1);19.81;0.04;5.25;123;Putative transcriptional regulator encoded by LINC00473 OS=Homo sapiens GN=LINC00473 PE=5 SV=2;9.68e+005;1.84e+005
SYG_HUMAN;9 (8);376.12;0.04;5.19;123;Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3;1.28e+005;2.46e+004
LRC15_HUMAN;2 (2);48.06;0.04;5.15;123;Leucine-rich repeat-containing protein 15 OS=Homo sapiens GN=LRRC15 PE=1 SV=2;574.90;2961.11
CLMP_HUMAN;1 (1);32.26;0.04;5.14;123;CXADR-like membrane protein OS=Homo sapiens GN=CLMP PE=1 SV=1;901.99;4639.34
GLT10_HUMAN;1 (1);41.04;0.04;5.01;123;Polypeptide N-acetylgalactosaminyltransferase 10 OS=Homo sapiens GN=GALNT10 PE=1 SV=2;491.38;2460.23
LAMA2_HUMAN;9 (9);427.32;0.04;4.89;123;Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4;1.84e+004;3772.86
EP15R_HUMAN;1 (1);45.12;0.04;4.81;123;Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1;158.15;760.77
ANKS6_HUMAN;1 (1);21.84;0.04;4.47;123;Ankyrin repeat and SAM domain-containing protein 6 OS=Homo sapiens GN=ANKS6 PE=1 SV=2;2.80e+005;6.27e+004
SPS1_HUMAN;1 (1);21.21;0.04;4.41;123;Selenide, water dikinase 1 OS=Homo sapiens GN=SEPHS1 PE=1 SV=2;254.49;1122.19
PLD3_HUMAN;1 (1);38.15;0.04;4.34;123;Phospholipase D3 OS=Homo sapiens GN=PLD3 PE=1 SV=1;812.05;3523.51
MYPN_HUMAN;1 (1);26.93;0.04;4.18;123;Myopalladin OS=Homo sapiens GN=MYPN PE=1 SV=2;3.37e+004;8066.41
FHL1_HUMAN;3 (3);101.91;0.04;4.09;123;Four and a half LIM domains protein 1 OS=Homo sapiens GN=FHL1 PE=1 SV=4;4845.10;1.98e+004
ANR50_HUMAN;2 (2);38.79;0.04;35.10;123;Ankyrin repeat domain-containing protein 50 OS=Homo sapiens GN=ANKRD50 PE=1 SV=4;6.18e+004;1760.58
ARHG8_HUMAN;1 (1);19.99;0.04;30.89;123;Neuroepithelial cell-transforming gene 1 protein OS=Homo sapiens GN=NET1 PE=1 SV=1;8043.31;260.38
KAPCA_HUMAN;1 (1);52.81;0.04;3.85;123;cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens GN=PRKACA PE=1 SV=2;1097.06;4220.78
GALT5_HUMAN;3 (3);141.60;0.04;3.80;123;Polypeptide N-acetylgalactosaminyltransferase 5 OS=Homo sapiens GN=GALNT5 PE=1 SV=1;2525.28;9600.03
SPTN2_HUMAN;1 (1);17.35;0.04;3.75;123;Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3;2178.61;8163.47
YBOX1_HUMAN;8 (3);412.19;0.04;3.69;123;Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3;7278.72;2.69e+004
PSB4_HUMAN;4 (4);241.37;0.04;3.58;123;Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4;3809.22;1.37e+004
RA1L2_HUMAN;6 (6);331.36;0.04;3.57;123;Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens GN=HNRNPA1L2 PE=2 SV=2;1.39e+004;4.95e+004
NID1_HUMAN;24 (23);1203.66;0.04;3.56;123;Nidogen-1 OS=Homo sapiens GN=NID1 PE=1 SV=3;7.12e+004;2.00e+004
ADHX_HUMAN;4 (4);102.86;0.04;3.53;123;Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4;3867.94;1.36e+004
LSAMP_HUMAN;1 (1);29.42;0.04;3.46;123;Limbic system-associated membrane protein OS=Homo sapiens GN=LSAMP PE=1 SV=2;413.57;1431.14
5HT3C_HUMAN;1 (1);17.78;0.04;3.36;123;5-hydroxytryptamine receptor 3C OS=Homo sapiens GN=HTR3C PE=1 SV=2;2301.33;7737.84
M3K4_HUMAN;2 (2);43.60;0.04;3.23;123;Mitogen-activated protein kinase kinase kinase 4 OS=Homo sapiens GN=MAP3K4 PE=1 SV=2;4.09e+004;1.27e+004
NHRF2_HUMAN;1 (1);19.04;0.04;3.21;123;Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens GN=SLC9A3R2 PE=1 SV=2;125.22;402.48
C2D1B_HUMAN;1 (1);18.48;0.04;3.21;123;Coiled-coil and C2 domain-containing protein 1B OS=Homo sapiens GN=CC2D1B PE=1 SV=1;4.13e+004;1.29e+004
ERP29_HUMAN;6 (6);282.20;0.04;3.16;123;Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4;6943.72;2.19e+004
GDIA_HUMAN;12 (4);584.93;0.04;3.12;123;Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2;3294.77;1.03e+004
IST1_HUMAN;2 (2);78.88;0.04;3.10;123;IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1;1.54e+004;4.76e+004
SERPH_HUMAN;20 (20);1273.66;0.04;3.04;123;Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2;3.33e+004;1.01e+005
SP20H_HUMAN;2 (2);45.96;0.04;28.95;123;Transcription factor SPT20 homolog OS=Homo sapiens GN=SUPT20H PE=1 SV=2;1.98e+005;6829.62
VTA1_HUMAN;1 (1);30.78;0.04;2.97;123;Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens GN=VTA1 PE=1 SV=1;1263.00;3756.82
RLA0_HUMAN;7 (7);452.54;0.04;2.62;123;60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1;2.38e+004;6.24e+004
DNJC3_HUMAN;5 (5);220.80;0.04;2.38;123;DnaJ homolog subfamily C member 3 OS=Homo sapiens GN=DNAJC3 PE=1 SV=1;2444.52;5807.19
FA20A_HUMAN;6 (6);232.75;0.04;2.31;123;Protein FAM20A OS=Homo sapiens GN=FAM20A PE=1 SV=4;3784.22;8756.56
HNRCL_HUMAN;5 (2);201.94;0.04;2.10;123;Heterogeneous nuclear ribonucleoprotein C-like 1 OS=Homo sapiens GN=HNRNPCL1 PE=1 SV=1;4504.85;9464.85
CCS_HUMAN;2 (2);79.59;0.04;2.10;123;Copper chaperone for superoxide dismutase OS=Homo sapiens GN=CCS PE=1 SV=1;726.16;1524.58
IGF2_HUMAN;6 (6);276.45;0.04;2.02;123;Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1;8.78e+005;4.34e+005
LXN_HUMAN;2 (2);62.84;0.04;17.12;123;Latexin OS=Homo sapiens GN=LXN PE=1 SV=2;235.78;4035.50
COFA1_HUMAN;2 (2);76.39;0.04;10.06;123;Collagen alpha-1(XV) chain OS=Homo sapiens GN=COL15A1 PE=1 SV=2;143.51;1443.78
BTD_HUMAN;5 (5);320.54;0.04;1.97;123;Biotinidase OS=Homo sapiens GN=BTD PE=1 SV=2;9837.32;1.93e+004
C1S_HUMAN;28 (28);1786.66;0.04;1.50;123;Complement C1s subcomponent OS=Homo sapiens GN=C1S PE=1 SV=1;1.43e+005;2.14e+005
TLN1_HUMAN;42 (35);2056.61;0.04;1.45;123;Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3;1.64e+004;2.37e+004
AHNK_HUMAN;13 (13);405.05;0.04;1.24;123;Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2;1.83e+004;1.48e+004
RAB1A_HUMAN;6 (4);247.38;0.04;1.16;123;Ras-related protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3;1.09e+004;1.26e+004
CLUS_HUMAN;7 (7);384.79;0.04;1.14;123;Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1;3.22e+004;3.67e+004
XPP1_HUMAN;1 (1);15.07;0.03;9.99;123;Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3;189.33;1891.21
RL24_HUMAN;2 (1);53.07;0.03;8.53;123;60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1;3985.57;3.40e+004
BPNT1_HUMAN;3 (3);130.71;0.03;8.31;123;3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=1 SV=1;783.50;6511.77
PRG4_HUMAN;8 (8);534.07;0.03;8.15;123;Proteoglycan 4 OS=Homo sapiens GN=PRG4 PE=1 SV=2;2.16e+005;2.65e+004
1C01_HUMAN;4 (1);205.50;0.03;7.32;123;HLA class I histocompatibility antigen, Cw-1 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=1;9074.44;1239.96
GDN_HUMAN;30 (30);2275.63;0.03;5.92;123;Glia-derived nexin OS=Homo sapiens GN=SERPINE2 PE=1 SV=1;1.35e+005;8.01e+005
APOB_HUMAN;4 (4);68.94;0.03;5.87;123;Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2;4997.54;2.93e+004
TYDP2_HUMAN;1 (1);25.21;0.03;5.84;123;Tyrosyl-DNA phosphodiesterase 2 OS=Homo sapiens GN=TDP2 PE=1 SV=1;1.38e+004;2357.98
IDS_HUMAN;2 (2);66.43;0.03;5.65;123;Iduronate 2-sulfatase OS=Homo sapiens GN=IDS PE=1 SV=1;512.45;2897.87
MMP13_HUMAN;7 (7);266.67;0.03;5.44;123;Collagenase 3 OS=Homo sapiens GN=MMP13 PE=1 SV=1;1560.28;8495.21
OFUT1_HUMAN;1 (1);32.40;0.03;5.22;123;GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens GN=POFUT1 PE=1 SV=1;600.19;3135.97
LIPL_HUMAN;5 (5);263.68;0.03;4.52;123;Lipoprotein lipase OS=Homo sapiens GN=LPL PE=1 SV=1;4.11e+004;9092.37
LDHA_HUMAN;35 (34);1714.44;0.03;4.49;123;L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2;3.77e+005;1.69e+006
TTC40_HUMAN;2 (2);39.69;0.03;4.17;123;Tetratricopeptide repeat protein 40 OS=Homo sapiens GN=TTC40 PE=2 SV=3;3.85e+005;9.23e+004
B4GT1_HUMAN;12 (12);917.96;0.03;4.10;123;Beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=1 SV=5;4.15e+004;1.70e+005
NDST2_HUMAN;1 (1);28.25;0.03;3.84;123;Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2 OS=Homo sapiens GN=NDST2 PE=1 SV=1;6523.28;1698.01
LBP_HUMAN;6 (6);336.48;0.03;3.53;123;Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3;7193.25;2.54e+004
TTC37_HUMAN;1 (1);31.37;0.03;3.45;123;Tetratricopeptide repeat protein 37 OS=Homo sapiens GN=TTC37 PE=1 SV=1;1013.25;3493.41
NMT2_HUMAN;1 (1);27.21;0.03;3.37;123;Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens GN=NMT2 PE=1 SV=1;7659.81;2269.58
PSA6_HUMAN;6 (6);319.41;0.03;3.35;123;Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1;9840.26;3.30e+004
TAOK1_HUMAN;1 (1);31.44;0.03;3.34;123;Serine/threonine-protein kinase TAO1 OS=Homo sapiens GN=TAOK1 PE=1 SV=1;1.55e+004;5.18e+004
PABP1_HUMAN;8 (8);304.92;0.03;3.17;123;Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2;1708.33;5420.80
NAGK_HUMAN;1 (1);16.40;0.03;29.85;123;N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=1 SV=4;84.91;2534.37
GDIB_HUMAN;21 (13);1102.34;0.03;2.90;123;Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2;1.23e+004;3.57e+004
CO6_HUMAN;9 (9);357.91;0.03;2.74;123;Complement component C6 OS=Homo sapiens GN=C6 PE=1 SV=3;1.60e+004;5856.54
ARSA_HUMAN;5 (5);425.07;0.03;2.66;123;Arylsulfatase A OS=Homo sapiens GN=ARSA PE=1 SV=3;2.43e+004;6.48e+004
A2MG_HUMAN;4 (3);263.23;0.03;2.59;123;Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3;1.43e+005;5.52e+004
B2MG_HUMAN;3 (3);91.14;0.03;2.59;123;Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1;2.05e+004;5.31e+004
OLM2A_HUMAN;4 (4);145.05;0.03;2.56;123;Olfactomedin-like protein 2A OS=Homo sapiens GN=OLFML2A PE=2 SV=1;2.27e+004;8845.69
TXND5_HUMAN;9 (9);367.04;0.03;2.55;123;Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2;1.15e+004;2.93e+004
PSA3_HUMAN;7 (7);288.31;0.03;2.55;123;Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2;9647.80;2.46e+004
DBNL_HUMAN;3 (3);186.13;0.03;2.44;123;Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1;1739.24;4235.40
EGLN_HUMAN;3 (3);185.28;0.03;2.43;123;Endoglin OS=Homo sapiens GN=ENG PE=1 SV=2;1.45e+005;5.97e+004
PDC10_HUMAN;1 (1);40.85;0.03;2.23;123;Programmed cell death protein 10 OS=Homo sapiens GN=PDCD10 PE=1 SV=1;451.30;1006.15
PGFRA_HUMAN;3 (3);96.98;0.03;2.04;123;Platelet-derived growth factor receptor alpha OS=Homo sapiens GN=PDGFRA PE=1 SV=1;1686.70;3444.21
CS066_HUMAN;1 (1);38.10;0.03;19.94;123;UPF0515 protein C19orf66 OS=Homo sapiens GN=C19orf66 PE=1 SV=2;383.72;7652.78
PADI1_HUMAN;1 (1);26.94;0.03;13.99;123;Protein-arginine deiminase type-1 OS=Homo sapiens GN=PADI1 PE=1 SV=2;2.48e+005;1.77e+004
ARMX4_HUMAN;1 (1);33.24;0.03;10.31;123;Armadillo repeat-containing X-linked protein 4 OS=Homo sapiens GN=ARMCX4 PE=2 SV=2;275.96;2844.25
LOXL2_HUMAN;11 (11);501.31;0.03;1.99;123;Lysyl oxidase homolog 2 OS=Homo sapiens GN=LOXL2 PE=1 SV=1;9119.60;1.81e+004
FBLN4_HUMAN;2 (2);59.18;0.03;1.87;123;EGF-containing fibulin-like extracellular matrix protein 2 OS=Homo sapiens GN=EFEMP2 PE=1 SV=3;5997.20;1.12e+004
SC31A_HUMAN;2 (2);93.22;0.03;1.84;123;Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=1 SV=3;4123.75;7575.38
NECP2_HUMAN;3 (3);104.25;0.03;1.66;123;Adaptin ear-binding coat-associated protein 2 OS=Homo sapiens GN=NECAP2 PE=1 SV=1;2992.72;4980.25
SIL1_HUMAN;6 (6);345.09;0.03;1.59;123;Nucleotide exchange factor SIL1 OS=Homo sapiens GN=SIL1 PE=1 SV=1;1.20e+004;1.90e+004
SEPT9_HUMAN;4 (4);82.94;0.02;7.88;123;Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2;657.21;5175.96
PPIF_HUMAN;1 (1);38.39;0.02;7.46;123;Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens GN=PPIF PE=1 SV=1;1225.32;9137.25
CO5A1_HUMAN;25 (23);1600.12;0.02;6.89;123;Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3;5.71e+004;3.93e+005
TSG6_HUMAN;1 (1);21.06;0.02;6.56;123;Tumor necrosis factor-inducible gene 6 protein OS=Homo sapiens GN=TNFAIP6 PE=1 SV=2;556.10;3650.56
ZEB2_HUMAN;2 (2);62.52;0.02;5.62;123;Zinc finger E-box-binding homeobox 2 OS=Homo sapiens GN=ZEB2 PE=1 SV=1;1.02e+004;1818.34
UBE2T_HUMAN;2 (2);66.45;0.02;5.46;123;Ubiquitin-conjugating enzyme E2 T OS=Homo sapiens GN=UBE2T PE=1 SV=1;4579.82;839.11
SFRP2_HUMAN;5 (5);191.86;0.02;5.16;123;Secreted frizzled-related protein 2 OS=Homo sapiens GN=SFRP2 PE=1 SV=2;1.04e+004;5.34e+004
SFRP4_HUMAN;3 (3);191.32;0.02;4.98;123;Secreted frizzled-related protein 4 OS=Homo sapiens GN=SFRP4 PE=1 SV=2;3297.65;1.64e+004
CBX7_HUMAN;1 (1);22.18;0.02;4.94;123;Chromobox protein homolog 7 OS=Homo sapiens GN=CBX7 PE=1 SV=1;3304.15;1.63e+004
HPLN3_HUMAN;3 (1);153.42;0.02;4.90;123;Hyaluronan and proteoglycan link protein 3 OS=Homo sapiens GN=HAPLN3 PE=2 SV=1;436.67;2139.46
LEP_HUMAN;2 (2);128.46;0.02;4.84;123;Leptin OS=Homo sapiens GN=LEP PE=1 SV=1;1.56e+004;3231.38
BIEA_HUMAN;1 (1);33.61;0.02;4.68;123;Biliverdin reductase A OS=Homo sapiens GN=BLVRA PE=1 SV=2;192.82;902.82
GRP75_HUMAN;3 (3);169.25;0.02;4.50;123;Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2;665.32;2994.47
SYWC_HUMAN;2 (2);104.18;0.02;4.37;123;Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2;982.59;4298.60
CAD11_HUMAN;9 (9);430.41;0.02;4.28;123;Cadherin-11 OS=Homo sapiens GN=CDH11 PE=1 SV=2;9797.48;4.19e+004
GCNT4_HUMAN;1 (1);16.34;0.02;4.18;123;Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 OS=Homo sapiens GN=GCNT4 PE=2 SV=1;1.60e+005;3.84e+004
IMPA1_HUMAN;3 (3);145.08;0.02;4.09;123;Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1 PE=1 SV=1;1324.20;5409.81
ZBT21_HUMAN;2 (2);37.85;0.02;4.08;123;Zinc finger and BTB domain-containing protein 21 OS=Homo sapiens GN=ZBTB21 PE=1 SV=2;1.88e+006;4.62e+005
PCBP2_HUMAN;3 (1);232.25;0.02;3.99;123;Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1;1137.35;4538.43
CATD_HUMAN;30 (30);2095.99;0.02;3.84;123;Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1;2.44e+005;9.39e+005
AGRIN_HUMAN;4 (4);133.84;0.02;3.83;123;Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5;920.60;3525.71
PTK7_HUMAN;5 (5);284.28;0.02;3.79;123;Inactive tyrosine-protein kinase 7 OS=Homo sapiens GN=PTK7 PE=1 SV=2;7268.56;2.76e+004
FAT4_HUMAN;3 (3);49.94;0.02;3.66;123;Protocadherin Fat 4 OS=Homo sapiens GN=FAT4 PE=1 SV=2;3178.04;868.83
APOL3_HUMAN;1 (1);19.59;0.02;3.47;123;Apolipoprotein L3 OS=Homo sapiens GN=APOL3 PE=2 SV=3;1812.20;6296.67
TAF5L_HUMAN;2 (2);57.53;0.02;3.44;123;TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Homo sapiens GN=TAF5L PE=1 SV=1;2.06e+004;5977.16
TPIS_HUMAN;25 (25);1983.37;0.02;3.39;123;Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3;3.23e+005;1.10e+006
GLU2B_HUMAN;6 (6);318.86;0.02;3.34;123;Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2;6567.15;2.19e+004
TSP3_HUMAN;12 (8);641.02;0.02;3.31;123;Thrombospondin-3 OS=Homo sapiens GN=THBS3 PE=2 SV=1;8309.00;2.75e+004
1433B_HUMAN;10 (4);643.15;0.02;3.16;123;14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3;6.32e+004;1.99e+005
PCBP1_HUMAN;5 (3);264.66;0.02;3.14;123;Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2;3139.64;9854.40
ROAA_HUMAN;3 (2);62.25;0.02;3.13;123;Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2;638.08;1996.82
GDF6_HUMAN;1 (1);47.46;0.02;2.82;123;Growth/differentiation factor 6 OS=Homo sapiens GN=GDF6 PE=1 SV=1;476.63;1343.52
SPRC_HUMAN;36 (36);2075.32;0.02;2.64;123;SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1;1.12e+006;2.95e+006
